session_id,user_id,session_date,duration_minutes,pages_viewed
114,3091,2023-06-25,23,9
115,5849,2023-03-25,4,8
116,2265,2023-02-06,32,12
117,1524,2023-05-23,5,5
118,642,2023-03-09,52,4
119,8906,2023-04-08,13,7
120,8191,2023-04-02,31,1
121,3497,2023-03-18,46,10
122,5813,2023-05-27,3,1
123,1928,2023-06-23,24,9
124,8481,2023-06-22,25,12
125,5547,2023-06-17,58,12
126,6046,2023-05-27,9,12
127,6434,2023-06-18,16,5
128,5988,2023-06-04,39,10
129,6164,2023-06-01,11,8
130,6462,2023-06-22,57,12
131,6360,2023-06-27,13,9
132,1624,2023-03-18,29,12
133,253,2023-06-14,3,9
134,6212,2023-05-08,36,9
135,3663,2023-06-10,31,5
136,6483,2023-06-29,7,12
137,5779,2023-04-09,5,13
138,368,2023-06-02,23,12
139,9763,2023-02-17,14,4
140,2031,2023-03-29,9,12
141,2701,2023-04-18,27,14
142,7559,2023-04-18,6,8
143,4624,2023-06-10,38,10
144,3338,2023-03-23,1,10
145,2297,2023-06-14,48,9
146,7846,2023-06-15,32,9
147,8245,2023-06-20,34,6
148,9762,2023-04-05,14,8
149,5205,2023-06-05,19,10
150,1409,2023-06-15,41,13
151,719,2023-05-11,12,8
152,6858,2023-06-07,20,3
153,571,2023-06-21,33,2
154,7011,2023-05-29,37,7
155,1049,2023-05-16,29,2
156,4000,2023-03-31,25,3
157,5663,2023-05-23,21,14
158,3965,2023-05-02,16,4
159,3075,2023-06-01,30,13
160,854,2023-04-06,29,6
161,4290,2023-02-19,29,6
162,5847,2023-06-14,59,10
163,7016,2023-06-26,21,9
164,830,2023-03-01,54,12
165,693,2023-06-12,45,10
166,5976,2023-04-27,7,12
167,5497,2023-06-21,9,7
168,3617,2023-02-03,54,1
169,7921,2023-05-23,35,9
170,3163,2023-06-14,2,6
171,2701,2023-06-09,51,4
172,6629,2023-06-22,53,3
173,1575,2023-06-26,58,3
174,2153,2023-06-23,33,4
175,7193,2023-06-17,21,4
176,6638,2023-05-05,21,12
177,5569,2023-06-21,41,11
178,1552,2023-06-28,51,7
179,4680,2023-06-20,59,10
180,1621,2023-05-03,44,4
181,4043,2023-03-11,52,9
182,3802,2023-06-12,29,10
183,8628,2023-06-27,6,10
184,1468,2023-03-01,50,6
185,3365,2023-06-19,2,1
186,1846,2023-05-27,19,3
187,1535,2023-05-12,31,10
188,1491,2023-06-26,25,8
189,4271,2023-06-26,2,6
190,6485,2023-06-24,36,1
191,9214,2023-06-27,4,5
192,3819,2023-02-23,53,2
193,7634,2023-06-18,15,13
194,170,2023-06-16,14,13
195,4836,2023-05-14,58,1
196,701,2023-02-01,50,8
197,6131,2023-04-08,19,10
198,4542,2023-06-06,4,3
199,951,2023-02-17,17,11
200,9743,2023-05-30,43,14
201,3046,2023-06-29,44,2
202,2619,2023-06-16,30,12
203,3831,2023-02-23,44,14
204,298,2023-05-12,17,10
205,8052,2023-04-15,57,8
206,510,2023-03-24,32,2
207,5894,2023-06-07,34,2
208,3750,2023-06-23,15,5
209,7119,2023-05-02,17,10
210,1441,2023-05-16,31,13
211,5466,2023-06-04,42,10
212,7582,2023-06-15,53,10
213,5230,2023-06-28,49,9
214,449,2023-05-17,12,4
215,634,2023-05-16,48,14
216,5887,2023-06-15,33,4
217,1019,2023-05-28,14,9
218,8907,2023-05-31,18,8
219,5610,2023-03-11,54,6
220,5647,2023-06-03,15,11
221,7116,2023-02-15,53,11
222,918,2023-05-17,8,5
223,9016,2023-05-31,23,5
224,6938,2023-06-01,52,1
225,4274,2023-06-29,4,5
226,2033,2023-06-27,37,6
227,8791,2023-05-27,32,12
228,2365,2023-06-29,28,11
229,3,2023-05-28,38,12
230,5278,2023-04-22,18,3
231,5306,2023-04-10,2,10
232,6040,2023-04-13,24,10
233,8005,2023-06-05,14,13
234,4147,2023-06-09,35,8
235,6966,2023-03-07,48,8
236,3763,2023-06-27,47,2
237,2715,2023-06-20,31,4
238,2473,2023-06-22,1,5
239,7793,2023-06-02,27,13
240,4216,2023-03-10,21,3
241,618,2023-05-17,59,1
242,1394,2023-05-22,53,9
243,2465,2023-06-26,39,13
244,1803,2023-06-28,5,13
245,8356,2023-05-24,50,10
246,9849,2023-06-09,50,14
247,8827,2023-05-29,18,8
248,9148,2023-02-18,18,5
249,4645,2023-03-26,7,2
250,6032,2023-04-09,35,12
251,719,2023-04-27,58,3
252,3464,2023-06-22,35,2
253,995,2023-04-19,19,7
254,4617,2023-05-15,27,3
255,837,2023-02-14,3,4
256,8704,2023-04-17,54,8
257,7760,2023-05-31,16,8
258,1042,2023-06-27,9,11
259,7628,2023-06-20,40,6
260,4803,2023-06-29,24,6
261,5236,2023-05-19,47,7
262,8736,2023-06-22,29,10
263,6367,2023-05-16,15,1
264,4184,2023-04-13,9,8
265,5793,2023-06-29,17,5
266,9157,2023-06-29,29,11
267,1922,2023-05-25,51,2
268,2870,2023-06-11,26,9
269,9190,2023-05-25,38,12
270,8867,2023-06-20,53,2
271,9079,2023-06-22,30,5
272,2237,2023-02-27,27,14
273,6515,2023-05-27,34,9
274,4924,2023-03-30,40,10
275,2298,2023-03-16,14,2
276,4220,2023-04-25,5,5
277,2014,2023-04-14,4,5
278,2353,2023-06-26,46,6
279,4887,2023-05-06,33,13
280,1860,2023-05-13,34,11
281,4494,2023-05-19,30,14
282,7326,2023-06-11,50,9
283,2051,2023-06-04,23,1
284,2044,2023-02-15,15,7
285,6475,2023-02-27,48,11
286,4675,2023-06-17,6,2
287,2729,2023-03-26,30,14
288,8112,2023-02-18,38,7
289,5682,2023-06-28,13,12
290,442,2023-04-03,58,5
291,2063,2023-06-29,36,7
292,5242,2023-06-02,48,8
293,9776,2023-05-09,40,10
294,8818,2023-03-19,42,1
295,6977,2023-04-27,45,8
296,6114,2023-03-20,6,9
297,9151,2023-06-11,18,12
298,9231,2023-06-23,36,8
299,7556,2023-05-07,25,14
300,91,2023-05-03,50,11
301,2765,2023-04-13,48,1
302,5879,2023-04-03,4,10
303,1518,2023-04-27,53,7
304,8040,2023-02-02,24,12
305,6048,2023-06-26,25,12
306,6665,2023-05-17,22,14
307,3813,2023-04-16,1,13
308,9433,2023-06-20,4,6
309,8377,2023-05-16,37,1
310,8387,2023-06-28,27,5
311,8208,2023-06-12,38,14
312,3153,2023-05-20,33,5
313,3675,2023-05-31,7,10
314,5770,2023-06-25,6,9
315,6837,2023-05-30,13,10
316,6209,2023-05-12,30,9
317,4381,2023-06-01,14,7
318,8338,2023-04-19,59,5
319,9632,2023-06-10,53,10
320,1899,2023-06-07,20,11
321,3745,2023-06-27,55,12
322,9686,2023-05-07,40,4
323,1899,2023-04-05,13,11
324,6411,2023-03-03,2,11
325,5832,2023-06-22,43,11
326,6435,2023-06-22,30,2
327,8272,2023-04-10,27,1
328,7788,2023-06-24,37,8
329,5597,2023-06-16,53,3
330,1186,2023-05-04,7,8
331,5625,2023-05-31,55,3
332,3060,2023-06-04,22,8
333,6968,2023-06-19,56,4
334,3935,2023-06-04,40,6
335,1438,2023-06-09,40,8
336,5104,2023-05-29,43,3
337,8030,2023-06-17,16,6
338,8650,2023-02-28,37,3
339,2274,2023-02-07,43,4
340,5695,2023-06-01,54,3
341,2326,2023-02-17,55,10
342,7993,2023-03-14,51,9
343,5814,2023-04-12,20,2
344,2052,2023-06-05,59,12
345,7361,2023-06-19,21,3
346,9983,2023-06-23,13,5
347,3376,2023-06-29,53,4
348,151,2023-05-19,51,7
349,8051,2023-05-17,46,13
350,7383,2023-06-04,35,2
351,1766,2023-04-18,47,11
352,7495,2023-06-13,58,12
353,4001,2023-05-17,50,7
354,9114,2023-03-05,49,11
355,955,2023-03-07,56,6
356,85,2023-06-02,18,14
357,8610,2023-06-09,24,4
358,8898,2023-03-08,16,1
359,5366,2023-06-24,31,5
360,8565,2023-06-22,29,6
361,1095,2023-02-22,1,9
362,3274,2023-03-13,34,7
363,7519,2023-01-26,29,12
364,9096,2023-03-04,15,1
365,4865,2023-06-27,1,10
366,4317,2023-02-10,48,12
367,1183,2023-05-12,24,9
368,5328,2023-06-29,18,3
369,2899,2023-06-22,53,11
370,9946,2023-06-23,44,12
371,4490,2023-06-29,44,7
372,5093,2023-04-01,51,7
373,8514,2023-06-29,51,11
374,1204,2023-05-23,33,14
375,3672,2023-04-16,5,1
376,7550,2023-06-10,31,11
377,6972,2023-06-29,19,8
378,8014,2023-03-14,22,14
379,126,2023-06-02,26,10
380,5102,2023-05-14,7,7
381,6962,2023-06-18,30,2
382,3691,2023-02-11,40,1
383,3160,2023-05-26,25,2
384,6143,2023-06-21,59,6
385,3598,2023-05-14,37,7
386,3315,2023-04-01,54,1
387,2578,2023-06-09,18,8
388,4386,2023-04-17,2,1
389,3625,2023-03-28,34,12
390,1611,2023-03-02,24,4
391,5297,2023-05-14,47,9
392,8410,2023-06-05,29,13
393,4821,2023-06-25,44,2
394,2864,2023-04-19,10,14
395,4033,2023-06-14,31,7
396,3854,2023-06-23,46,5
397,391,2023-05-19,7,5
398,3998,2023-05-16,49,9
399,4247,2023-04-06,34,1
400,8655,2023-06-29,29,5
401,5009,2023-06-29,38,10
402,6018,2023-02-11,56,11
403,9544,2023-06-13,29,7
404,9127,2023-05-20,23,5
405,9436,2023-06-22,42,7
406,3376,2023-06-24,51,11
407,511,2023-05-04,11,1
408,4869,2023-06-15,44,4
409,4066,2023-06-12,56,2
410,3143,2023-02-27,58,9
411,2910,2023-04-30,52,13
412,5214,2023-06-24,22,8
413,2767,2023-06-06,2,13
414,1609,2023-05-27,4,13
415,1691,2023-06-29,33,4
416,8962,2023-06-11,47,12
417,228,2023-05-14,14,5
418,7343,2023-06-18,47,11
419,808,2023-06-11,13,2
420,6361,2023-04-08,11,1
421,548,2023-05-25,59,8
422,5517,2023-06-05,1,10
423,724,2023-05-06,21,5
424,115,2023-04-26,56,14
425,6662,2023-04-28,51,13
426,4036,2023-06-20,33,11
427,9341,2023-06-24,19,10
428,6452,2023-05-29,46,7
429,9935,2023-04-11,43,13
430,7683,2023-02-17,2,13
431,4162,2023-06-16,47,2
432,8470,2023-01-20,57,8
433,139,2023-05-31,54,11
434,676,2023-06-20,38,12
435,7477,2023-05-23,21,1
436,9259,2023-06-23,16,6
437,1837,2023-05-16,35,10
438,8873,2023-03-02,58,10
439,4367,2023-06-26,7,9
440,2348,2023-05-28,41,11
441,1066,2023-04-01,40,9
442,9813,2023-06-23,53,12
443,7684,2023-04-17,4,6
444,5033,2023-04-16,36,9
445,6406,2023-02-25,49,7
446,5841,2023-06-22,15,11
447,3327,2023-02-19,50,7
448,6225,2023-06-15,28,10
449,4507,2023-04-15,31,2
450,8922,2023-06-25,20,4
451,4852,2023-04-25,27,2
452,8050,2023-05-09,20,8
453,7271,2023-04-13,11,2
454,5664,2023-05-15,26,8
455,9586,2023-06-01,1,14
456,2903,2023-06-23,28,1
457,51,2023-03-09,20,14
458,7406,2023-06-23,36,7
459,8232,2023-05-24,56,4
460,6023,2023-04-25,1,7
461,8961,2023-04-04,31,2
462,2969,2023-06-19,49,5
463,6367,2023-05-16,3,7
464,8710,2023-05-23,53,6
465,8156,2023-06-23,17,1
466,2020,2023-03-06,56,2
467,6416,2023-05-18,45,7
468,7574,2023-06-22,56,5
469,4325,2023-06-15,37,7
470,5681,2023-04-11,11,7
471,9467,2023-05-12,13,13
472,4490,2023-06-19,35,5
473,7463,2023-05-19,43,11
474,6714,2023-06-13,5,14
475,5831,2023-06-10,55,12
476,2730,2023-06-16,18,10
477,9517,2023-05-06,51,12
478,601,2023-06-23,18,7
479,1797,2023-03-03,28,2
480,8505,2023-03-26,12,4
481,5200,2023-05-19,26,5
482,663,2023-06-10,28,12
483,5778,2023-04-10,47,3
484,8687,2023-05-22,29,3
485,3976,2023-03-13,44,3
486,3048,2023-04-27,58,2
487,2195,2023-05-04,55,14
488,6373,2023-04-02,37,11
489,3996,2023-05-25,31,6
490,1732,2023-06-13,34,1
491,2902,2023-04-22,42,12
492,4428,2023-04-09,43,1
493,5569,2023-04-23,4,10
494,776,2023-03-09,6,1
495,442,2023-05-24,57,11
496,3049,2023-03-07,28,11
497,411,2023-06-13,49,3
498,8301,2023-06-27,22,3
499,7670,2023-06-24,54,2
500,3174,2023-06-01,17,11
501,5869,2023-06-11,36,10
502,2937,2023-06-26,44,5
503,6783,2023-05-12,49,9
504,8079,2023-04-08,31,7
505,4830,2023-06-21,31,9
506,5827,2023-05-12,40,14
507,1727,2023-05-26,33,11
508,3166,2023-05-07,54,7
509,484,2023-04-22,30,10
510,6915,2023-06-22,54,8
511,6964,2023-06-22,57,5
512,4140,2023-06-22,48,6
513,1340,2023-06-18,55,12
514,6202,2023-05-14,44,3
515,607,2023-06-17,20,9
516,5262,2023-02-01,24,13
517,6931,2023-06-01,42,2
518,9662,2023-04-20,49,2
519,8627,2023-02-24,37,12
520,4219,2023-06-06,26,11
521,3062,2023-05-27,55,13
522,1818,2023-06-28,50,5
523,4722,2023-03-27,24,1
524,952,2023-05-11,30,11
525,2807,2023-06-26,27,5
526,9068,2023-05-25,6,6
527,9701,2023-04-29,50,6
528,4781,2023-05-24,11,11
529,3295,2023-05-26,47,9
530,6866,2023-06-20,42,3
531,2946,2023-04-09,15,9
532,4218,2023-02-11,13,11
533,7533,2023-06-15,46,6
534,7494,2023-06-15,46,10
535,2888,2023-03-28,38,11
536,9325,2023-05-13,34,3
537,2884,2023-02-17,54,8
538,4639,2023-05-09,58,5
539,1146,2023-06-26,51,14
540,2119,2023-06-05,17,7
541,1199,2023-06-09,21,6
542,7461,2023-05-08,1,14
543,1745,2023-05-22,16,2
544,9952,2023-04-28,23,9
545,3091,2023-05-29,39,7
546,9945,2023-05-23,49,9
547,9269,2023-02-25,45,4
548,9214,2023-03-20,3,7
549,992,2023-04-11,12,6
550,587,2023-03-22,29,14
551,7812,2023-04-28,9,12
552,8750,2023-04-27,27,1
553,3487,2023-03-29,20,14
554,9764,2023-06-03,32,7
555,9348,2023-06-13,42,10
556,8834,2023-05-26,36,9
557,4775,2023-03-31,32,6
558,3884,2023-06-10,54,11
559,4187,2023-05-30,46,6
560,8057,2023-05-21,51,12
561,7977,2023-06-26,44,4
562,3194,2023-05-17,33,14
563,5985,2023-05-27,15,7
564,3878,2023-05-03,58,11
565,4042,2023-01-17,8,6
566,2753,2023-06-28,54,4
567,3186,2023-04-04,4,7
568,419,2023-06-13,52,14
569,4619,2023-06-24,57,13
570,2235,2023-06-09,46,14
571,7750,2023-06-26,40,10
572,811,2023-05-03,55,8
573,7655,2023-05-31,32,11
574,9832,2023-05-24,19,3
575,2905,2023-05-22,58,10
576,2775,2023-05-04,26,9
577,1654,2023-05-31,8,6
578,4101,2023-05-29,58,1
579,5786,2023-06-15,37,4
580,6944,2023-06-16,58,7
581,4399,2023-03-12,37,8
582,1976,2023-05-20,20,12
583,6499,2023-06-24,30,4
584,5050,2023-06-26,12,4
585,9884,2023-05-24,34,3
586,5215,2023-06-11,50,5
587,7759,2023-04-12,30,13
588,4791,2023-06-24,58,9
589,826,2023-02-27,24,8
590,5109,2023-05-01,22,9
591,430,2023-02-22,45,13
592,3914,2023-05-11,14,1
593,5805,2023-05-26,23,13
594,3722,2023-04-29,2,8
595,1382,2023-06-17,49,8
596,1756,2023-05-26,36,1
597,3672,2023-04-17,52,11
598,4601,2023-02-10,59,13
599,5488,2023-06-15,14,9
600,2912,2023-06-22,44,10
601,5894,2023-05-28,40,9
602,1419,2023-05-17,32,4
603,4483,2023-06-21,18,8
604,5064,2023-06-25,43,8
605,1953,2023-06-05,25,12
606,2031,2023-03-22,46,10
607,979,2023-04-16,54,9
608,762,2023-06-29,25,4
609,6154,2023-06-29,58,11
610,5907,2023-03-25,50,12
611,135,2023-06-17,49,6
612,2621,2023-06-28,47,12
613,2574,2023-01-18,49,14
614,2306,2023-05-27,2,13
615,6588,2023-06-25,4,11
616,2349,2023-05-05,8,9
617,7956,2023-04-05,1,11
618,5146,2023-06-06,59,3
619,5563,2023-05-09,9,14
620,5111,2023-02-18,45,7
621,7144,2023-03-29,27,3
622,9879,2023-04-05,28,10
623,7376,2023-05-07,1,13
624,9881,2023-04-10,47,10
625,4724,2023-05-25,42,3
626,6345,2023-06-12,6,14
627,381,2023-03-23,35,11
628,6047,2023-05-13,15,2
629,1139,2023-05-11,10,9
630,6447,2023-03-05,46,2
631,142,2023-01-30,57,12
632,4624,2023-06-01,24,14
633,5268,2023-06-15,1,4
634,1525,2023-05-23,27,1
635,5894,2023-04-14,56,13
636,9245,2023-06-04,20,5
637,6404,2023-05-16,39,13
638,2056,2023-05-07,30,13
639,3376,2023-06-26,42,14
640,7184,2023-06-24,58,7
641,3375,2023-06-12,10,4
642,6240,2023-05-28,45,3
643,4322,2023-06-21,52,11
644,8780,2023-02-06,23,1
645,9540,2023-04-04,24,2
646,7287,2023-06-27,20,4
647,7339,2023-05-14,34,13
648,34,2023-04-18,18,13
649,7942,2023-06-28,38,12
650,5425,2023-06-03,1,14
651,9267,2023-06-26,19,9
652,1545,2023-06-03,36,14
653,7534,2023-04-08,37,10
654,528,2023-06-16,42,3
655,3259,2023-05-20,45,13
656,6328,2023-04-24,45,7
657,7361,2023-06-20,17,4
658,3156,2023-02-18,1,14
659,896,2023-06-22,38,9
660,5514,2023-06-20,49,14
661,5081,2023-06-13,53,6
662,1527,2023-05-10,33,3
663,604,2023-06-23,33,11
664,8995,2023-05-29,30,2
665,1086,2023-03-25,39,3
666,2081,2023-06-14,14,13
667,143,2023-05-30,40,7
668,9578,2023-04-11,19,14
669,9714,2023-05-02,54,1
670,5235,2023-05-13,7,8
671,1909,2023-05-17,21,1
672,5477,2023-06-17,18,13
673,9610,2023-06-21,50,2
674,3576,2023-05-20,53,12
675,6736,2023-06-04,12,2
676,754,2023-05-08,12,2
677,7775,2023-05-03,8,11
678,4360,2023-01-30,42,14
679,1261,2023-06-25,16,10
680,1534,2023-02-13,48,9
681,1595,2023-06-07,27,8
682,3921,2023-06-07,56,12
683,3247,2023-05-19,39,8
684,1596,2023-03-21,44,10
685,3241,2023-05-24,19,13
686,7220,2023-02-25,46,7
687,3300,2023-06-07,15,8
688,7416,2023-04-28,33,12
689,2380,2023-04-20,32,6
690,2936,2023-06-21,27,3
691,3510,2023-06-22,15,1
692,7501,2023-06-07,25,6
693,99,2023-05-26,59,12
694,9928,2023-04-16,34,5
695,7159,2023-06-15,32,14
696,5387,2023-06-23,8,6
697,6152,2023-06-29,10,2
698,1598,2023-03-16,15,8
699,5521,2023-06-19,57,13
700,2893,2023-05-30,48,1
701,4068,2023-05-21,26,4
702,6029,2023-06-24,25,13
703,9046,2023-06-21,31,9
704,3182,2023-06-13,13,12
705,9786,2023-02-27,7,7
706,9048,2023-05-21,52,4
707,2462,2023-04-04,58,4
708,5005,2023-03-07,34,13
709,3080,2023-04-23,50,1
710,3648,2023-04-17,18,12
711,5940,2023-06-15,2,3
712,3974,2023-04-21,38,2
713,5447,2023-06-28,12,5
714,1974,2023-06-24,1,11
715,4374,2023-06-06,39,10
716,3263,2023-06-15,4,12
717,8696,2023-06-29,28,5
718,9950,2023-06-29,7,4
719,700,2023-05-19,24,3
720,8852,2023-06-15,55,7
721,4191,2023-06-25,47,7
722,1651,2023-05-04,58,2
723,7853,2023-05-19,40,9
724,6778,2023-06-04,30,11
725,7482,2023-05-17,52,7
726,7372,2023-02-24,22,12
727,677,2023-06-29,22,8
728,8414,2023-04-11,44,10
729,6731,2023-04-28,28,6
730,6090,2023-05-13,20,12
731,4830,2023-04-13,53,13
732,5342,2023-02-12,51,6
733,6574,2023-02-10,9,6
734,3306,2023-05-27,28,4
735,121,2023-06-27,5,13
736,7729,2023-04-03,22,1
737,3451,2023-06-13,56,6
738,9784,2023-06-22,44,12
739,6312,2023-06-09,46,4
740,8986,2023-05-29,23,4
741,7764,2023-03-27,10,10
742,7258,2023-03-06,59,13
743,5731,2023-06-13,7,14
744,7440,2023-06-14,40,9
745,2123,2023-06-21,34,9
746,4233,2023-06-25,30,13
747,2309,2023-01-21,46,10
748,3284,2023-06-25,51,1
749,6008,2023-06-08,19,10
750,6754,2023-04-09,15,9
751,8990,2023-06-08,58,7
752,1568,2023-06-21,36,11
753,4312,2023-06-01,43,3
754,4881,2023-06-09,39,2
755,364,2023-06-27,29,1
756,4327,2023-06-26,35,2
757,8171,2023-06-11,2,14
758,383,2023-04-02,48,4
759,2202,2023-06-12,40,7
760,5157,2023-03-30,55,1
761,5433,2023-02-16,45,9
762,4108,2023-06-06,25,3
763,7393,2023-04-12,35,7
764,2203,2023-06-14,8,7
765,519,2023-06-08,36,7
766,5098,2023-05-15,19,4
767,236,2023-05-26,5,10
768,5158,2023-06-11,31,11
769,6064,2023-06-24,38,6
770,4394,2023-06-17,53,6
771,1268,2023-05-29,7,7
772,2171,2023-06-21,28,6
773,9708,2023-06-26,41,3
774,8074,2023-06-02,12,14
775,7019,2023-04-25,51,12
776,9481,2023-03-13,45,9
777,3180,2023-06-21,33,14
778,5346,2023-06-09,2,2
779,1198,2023-06-28,15,12
780,3933,2023-06-17,13,5
781,6482,2023-05-11,5,9
782,9910,2023-05-20,58,5
783,1629,2023-06-13,39,3
784,7799,2023-06-20,50,4
785,2902,2023-05-14,44,6
786,9744,2023-03-04,11,3
787,2989,2023-06-10,42,5
788,8736,2023-06-23,4,14
789,8616,2023-01-04,33,3
790,3418,2023-06-20,17,5
791,8147,2023-05-22,1,11
792,994,2023-06-28,31,8
793,9724,2023-06-11,13,14
794,3004,2023-05-19,28,8
795,4427,2023-03-20,40,5
796,3516,2023-04-27,35,8
797,1573,2023-05-02,34,7
798,5654,2023-06-02,55,7
799,1933,2023-03-10,50,6
800,912,2023-05-27,37,8
801,4412,2023-06-21,55,12
802,5847,2023-06-13,28,2
803,6816,2023-06-01,9,10
804,7851,2023-06-11,10,2
805,6304,2023-06-25,9,2
806,7014,2023-06-04,9,10
807,156,2023-05-09,48,1
808,9121,2023-02-23,36,11
809,6888,2023-06-29,36,4
810,5457,2023-03-19,40,8
811,2730,2023-06-13,38,9
812,7554,2023-03-29,51,8
813,6899,2023-04-25,21,3
814,1698,2023-05-25,31,13
815,9070,2023-03-13,18,8
816,5542,2023-06-28,34,12
817,2316,2023-04-29,13,13
818,5013,2023-06-03,36,12
819,1115,2023-06-22,26,13
820,1320,2023-04-04,39,4
821,357,2023-03-04,52,4
822,7166,2023-06-17,37,6
823,8510,2023-03-13,58,2
824,9533,2023-06-25,25,3
825,2900,2023-05-14,46,3
826,1020,2023-05-05,35,9
827,6446,2023-04-14,8,10
828,7401,2023-06-13,35,9
829,9180,2023-06-22,35,14
830,9629,2023-05-13,45,12
831,1074,2023-06-16,15,8
832,8553,2023-06-09,29,1
833,3008,2023-06-19,20,2
834,3574,2023-04-05,32,8
835,3558,2023-06-29,27,6
836,870,2023-04-29,43,2
837,6282,2023-04-19,38,2
838,877,2023-03-22,53,5
839,3765,2023-06-15,41,1
840,1820,2023-03-24,13,2
841,2,2023-06-29,55,3
842,9885,2023-04-05,45,7
843,4916,2023-06-19,58,4
844,7677,2023-06-03,5,2
845,2190,2023-06-05,55,10
846,6172,2023-02-06,31,8
847,2305,2023-06-04,12,3
848,3003,2023-05-02,40,2
849,3058,2023-05-12,19,3
850,7928,2023-03-28,48,8
851,5093,2023-04-23,21,4
852,3157,2023-06-22,39,5
853,3315,2023-05-21,41,1
854,5326,2023-05-24,3,5
855,4881,2023-02-03,59,3
856,1295,2023-06-14,41,14
857,479,2023-05-16,10,2
858,7726,2023-05-16,30,14
859,5297,2023-04-18,7,12
860,4878,2023-05-10,33,4
861,3812,2023-05-21,17,6
862,4571,2023-05-10,6,6
863,3459,2023-06-06,2,7
864,9060,2023-06-12,53,4
865,7422,2023-04-30,7,9
866,3462,2023-04-15,37,9
867,1406,2023-05-07,43,5
868,9691,2023-04-24,13,11
869,5654,2023-05-28,16,5
870,534,2023-06-26,45,7
871,4832,2023-06-28,17,11
872,4443,2023-04-06,8,9
873,9415,2023-05-15,35,14
874,3303,2023-06-29,59,14
875,3404,2023-06-26,49,1
876,9552,2023-06-07,28,9
877,9450,2023-06-20,12,9
