event_id,user_id,event_type,event_date
394,9338,signup,2023-05-23
395,9542,add_to_cart,2023-05-08
396,9719,add_to_cart,2023-02-09
397,737,signup,2023-05-10
398,9947,visit,2023-05-26
399,3955,visit,2023-06-24
400,8565,visit,2023-03-26
401,9773,visit,2023-05-15
402,3995,visit,2023-05-04
403,7477,visit,2023-02-06
404,7218,visit,2023-05-14
405,1027,visit,2023-02-02
406,8728,add_to_cart,2023-06-03
407,9257,visit,2023-03-30
408,7194,signup,2023-01-31
409,7971,signup,2023-03-02
410,154,visit,2023-01-24
411,6916,signup,2023-06-23
412,9036,visit,2023-03-26
413,2090,signup,2023-03-07
414,9924,signup,2023-05-31
415,174,visit,2023-02-26
416,9320,add_to_cart,2023-05-23
417,9473,signup,2023-04-29
418,1811,signup,2023-02-10
419,9993,visit,2023-04-24
420,3951,add_to_cart,2023-01-07
421,8546,signup,2023-02-15
422,620,visit,2023-05-10
423,1745,signup,2023-05-23
424,6718,visit,2023-03-30
425,1781,visit,2023-05-19
426,9442,signup,2023-06-08
427,503,signup,2023-01-16
428,1352,visit,2023-05-05
429,5436,signup,2023-03-09
430,4834,visit,2023-04-27
431,2926,visit,2023-04-12
432,5918,visit,2023-03-29
433,4009,visit,2023-04-06
434,2196,signup,2023-06-27
435,9742,visit,2023-02-06
436,4220,add_to_cart,2023-03-30
437,9956,visit,2023-01-07
438,2335,signup,2023-02-28
439,3602,add_to_cart,2023-03-31
440,6526,signup,2023-03-19
441,7042,add_to_cart,2023-03-29
442,8020,add_to_cart,2023-03-22
443,4828,signup,2023-04-03
444,8817,signup,2023-05-02
445,5866,signup,2023-06-22
446,3872,visit,2023-01-09
447,1838,signup,2023-01-22
448,8041,visit,2023-06-05
449,4630,signup,2023-04-17
450,2327,add_to_cart,2023-04-24
451,3567,visit,2023-06-02
452,4868,signup,2023-02-07
453,6476,add_to_cart,2023-06-22
454,7289,signup,2023-01-21
455,2943,visit,2023-03-23
456,2155,signup,2023-03-10
457,5245,visit,2023-01-24
458,8994,signup,2023-02-17
459,6079,purchase,2023-05-03
460,680,visit,2023-03-31
461,8550,visit,2023-05-20
462,7041,add_to_cart,2023-04-21
463,999,add_to_cart,2023-05-15
464,1096,add_to_cart,2023-04-05
465,4052,signup,2023-06-12
466,6776,signup,2023-03-17
467,7755,signup,2023-04-01
468,6528,visit,2023-06-27
469,72,purchase,2023-02-20
470,8071,visit,2023-01-02
471,291,visit,2023-03-31
472,7753,visit,2023-03-14
473,7931,visit,2023-06-05
474,2601,visit,2023-05-26
475,2433,visit,2023-06-13
476,9576,visit,2023-04-27
477,3524,add_to_cart,2023-02-09
478,6760,add_to_cart,2023-06-13
479,2699,signup,2023-04-01
480,1120,add_to_cart,2023-02-01
481,2997,signup,2023-03-19
482,4091,visit,2023-02-25
483,3417,add_to_cart,2023-03-23
484,9578,visit,2023-06-14
485,1739,signup,2023-02-03
486,9562,signup,2023-03-19
487,400,signup,2023-06-14
488,6957,visit,2023-01-10
489,6258,signup,2023-06-09
490,7841,purchase,2023-01-01
491,6751,signup,2023-06-12
492,9066,signup,2023-06-05
493,6724,add_to_cart,2023-03-09
494,9011,purchase,2023-05-22
495,3759,visit,2023-05-06
496,7037,signup,2023-05-27
497,8924,visit,2023-02-19
498,2171,signup,2023-04-11
499,6510,add_to_cart,2023-04-24
500,761,signup,2023-01-16
501,3304,signup,2023-02-27
502,8770,add_to_cart,2023-03-05
503,255,add_to_cart,2023-03-11
504,3171,visit,2023-06-10
505,8416,visit,2023-04-12
506,4676,visit,2023-03-29
507,5157,add_to_cart,2023-04-02
508,7690,signup,2023-04-14
509,9975,purchase,2023-05-10
510,3625,visit,2023-03-27
511,6606,visit,2023-06-06
512,1274,signup,2023-03-02
513,8947,purchase,2023-02-04
514,9405,add_to_cart,2023-02-25
515,6745,signup,2023-03-03
516,6279,visit,2023-06-17
517,415,signup,2023-03-04
518,3042,visit,2023-06-22
519,9831,visit,2023-06-14
520,6146,purchase,2023-05-18
521,9425,add_to_cart,2023-03-15
522,3687,purchase,2023-02-21
523,5609,add_to_cart,2023-05-22
524,4022,purchase,2023-03-22
525,2572,visit,2023-05-20
526,4916,add_to_cart,2023-03-26
527,4907,visit,2023-04-01
528,7871,add_to_cart,2023-05-08
529,3048,add_to_cart,2023-04-01
530,7959,purchase,2023-03-11
531,6100,visit,2023-05-31
532,3775,visit,2023-04-23
533,7602,signup,2023-01-31
534,8270,visit,2023-04-21
535,57,visit,2023-02-26
536,8605,visit,2023-01-23
537,6586,visit,2023-05-12
538,755,visit,2023-05-07
539,674,signup,2023-06-05
540,8382,add_to_cart,2023-05-08
541,613,signup,2023-03-16
542,1156,signup,2023-04-07
543,8472,signup,2023-05-10
544,7530,visit,2023-06-06
545,6722,visit,2023-01-26
546,7790,signup,2023-06-10
547,6091,purchase,2023-01-23
548,7526,visit,2023-02-10
549,8830,visit,2023-05-02
550,1992,add_to_cart,2023-01-07
551,3735,signup,2023-06-28
552,1488,signup,2023-05-16
553,9249,signup,2023-01-09
554,2984,visit,2023-05-26
555,3119,signup,2023-05-30
556,5620,add_to_cart,2023-05-12
557,2973,add_to_cart,2023-05-29
558,4475,signup,2023-03-18
559,9396,purchase,2023-05-04
560,2799,signup,2023-03-04
561,6873,signup,2023-02-24
562,1552,add_to_cart,2023-04-23
563,4622,add_to_cart,2023-03-09
564,3880,purchase,2023-05-10
565,9814,visit,2023-05-27
566,4460,signup,2023-06-25
567,2743,add_to_cart,2023-01-10
568,2543,add_to_cart,2023-01-30
569,3646,signup,2023-04-10
570,7835,visit,2023-05-07
571,5831,visit,2023-03-18
572,6480,add_to_cart,2023-01-15
573,3691,add_to_cart,2023-01-25
574,3826,visit,2023-05-19
575,5394,visit,2023-06-18
576,3452,purchase,2023-06-14
577,9796,signup,2023-02-13
578,1682,signup,2023-02-07
579,2577,visit,2023-06-19
580,9828,signup,2023-06-14
581,8316,signup,2023-01-13
582,1861,signup,2023-04-07
583,3551,visit,2023-05-18
584,6777,purchase,2023-01-03
585,1749,signup,2023-01-07
586,9155,signup,2023-05-14
587,2327,add_to_cart,2023-01-04
588,7359,add_to_cart,2023-06-25
589,5121,signup,2023-05-05
590,9261,signup,2023-02-26
591,5184,visit,2023-03-31
592,645,visit,2023-05-06
593,2135,visit,2023-01-25
594,5201,visit,2023-04-15
595,7684,visit,2023-05-02
596,6880,visit,2023-03-02
597,1233,signup,2023-01-01
598,1607,signup,2023-04-23
599,7602,add_to_cart,2023-04-21
600,2492,visit,2023-01-12
601,4823,add_to_cart,2023-01-23
602,1831,signup,2023-05-11
603,9487,purchase,2023-03-18
604,5496,visit,2023-04-24
605,4242,add_to_cart,2023-03-02
606,4862,signup,2023-03-08
607,7187,visit,2023-05-18
608,2409,signup,2023-01-17
609,3244,purchase,2023-04-28
610,2273,purchase,2023-01-05
611,1129,visit,2023-04-07
612,8404,visit,2023-01-31
613,9740,add_to_cart,2023-04-17
614,6848,signup,2023-04-09
615,9749,signup,2023-04-11
616,7100,signup,2023-01-08
617,8348,visit,2023-01-06
618,2281,signup,2023-04-08
619,6619,visit,2023-06-04
620,6405,visit,2023-03-01
621,648,signup,2023-02-15
622,1534,signup,2023-06-08
623,5063,signup,2023-04-09
624,3668,add_to_cart,2023-01-21
625,4876,add_to_cart,2023-03-20
626,6605,signup,2023-03-30
627,1853,visit,2023-02-17
628,8391,signup,2023-06-15
629,548,signup,2023-01-20
630,7092,purchase,2023-02-03
631,7304,visit,2023-02-24
632,959,signup,2023-05-18
633,8472,visit,2023-03-20
634,1711,signup,2023-05-04
635,20,visit,2023-02-01
636,1449,add_to_cart,2023-03-21
637,9389,signup,2023-01-01
638,5815,signup,2023-03-26
639,3274,signup,2023-03-04
640,8291,visit,2023-06-12
641,3740,add_to_cart,2023-03-06
642,1584,signup,2023-04-28
643,5323,signup,2023-02-01
644,7208,purchase,2023-04-03
645,6778,signup,2023-01-26
646,6986,add_to_cart,2023-06-22
647,328,add_to_cart,2023-02-16
648,8571,purchase,2023-04-14
649,1631,visit,2023-01-22
650,1257,signup,2023-05-23
651,8388,visit,2023-02-06
652,1377,visit,2023-06-24
653,9239,visit,2023-02-03
654,3998,signup,2023-03-22
655,6751,signup,2023-03-20
656,3302,visit,2023-04-10
657,7380,visit,2023-02-20
658,3464,visit,2023-03-08
659,6353,visit,2023-04-21
660,222,add_to_cart,2023-04-30
661,5788,purchase,2023-06-12
662,8626,add_to_cart,2023-06-08
663,1823,visit,2023-03-30
664,5079,signup,2023-03-28
665,5623,signup,2023-02-26
666,7585,purchase,2023-02-23
667,5853,visit,2023-02-16
668,645,purchase,2023-02-09
669,2784,add_to_cart,2023-06-04
670,781,visit,2023-03-06
671,6032,visit,2023-05-30
672,9258,purchase,2023-01-24
673,1006,signup,2023-01-26
674,830,signup,2023-05-18
675,681,add_to_cart,2023-04-10
676,3336,signup,2023-01-25
677,4186,purchase,2023-04-06
678,1329,signup,2023-03-30
679,4857,visit,2023-06-21
680,1693,signup,2023-04-17
681,5760,add_to_cart,2023-02-01
682,5165,visit,2023-06-11
683,9280,visit,2023-02-26
684,7384,visit,2023-05-18
685,8595,signup,2023-04-02
686,2701,add_to_cart,2023-03-08
687,8123,add_to_cart,2023-03-12
688,2729,visit,2023-06-25
689,5183,visit,2023-01-19
690,1616,signup,2023-02-16
691,6652,visit,2023-05-24
692,8930,add_to_cart,2023-03-20
693,4771,signup,2023-02-16
694,4340,visit,2023-05-26
695,5532,signup,2023-04-23
696,1256,visit,2023-06-14
697,1144,add_to_cart,2023-02-19
698,2389,signup,2023-01-06
699,1995,add_to_cart,2023-03-29
700,5056,visit,2023-01-24
701,2977,visit,2023-05-23
702,2837,visit,2023-05-11
703,4623,visit,2023-06-24
704,5221,visit,2023-04-19
705,1720,purchase,2023-01-29
706,3922,visit,2023-05-07
707,1950,visit,2023-01-15
708,6116,add_to_cart,2023-03-07
709,589,visit,2023-03-23
710,335,signup,2023-03-31
711,8919,add_to_cart,2023-03-22
712,2525,visit,2023-05-28
713,1787,signup,2023-03-24
714,3047,signup,2023-03-28
715,2852,visit,2023-06-26
716,6819,visit,2023-05-04
717,8879,visit,2023-03-05
718,2103,purchase,2023-05-02
719,1986,add_to_cart,2023-05-20
720,4879,signup,2023-01-03
721,3896,add_to_cart,2023-05-08
722,3317,signup,2023-04-13
723,9674,purchase,2023-01-11
724,2049,visit,2023-02-27
725,7109,visit,2023-01-18
726,6233,add_to_cart,2023-05-09
727,4058,visit,2023-05-16
728,6189,purchase,2023-04-24
729,7183,visit,2023-06-14
730,2040,signup,2023-03-28
731,8738,visit,2023-04-05
732,8434,visit,2023-04-06
733,3444,add_to_cart,2023-06-13
734,678,signup,2023-05-20
735,9807,signup,2023-05-02
736,1915,purchase,2023-05-09
737,2772,signup,2023-01-13
738,9141,signup,2023-04-05
739,7162,visit,2023-04-24
740,1815,visit,2023-05-18
741,4579,signup,2023-05-19
742,8829,add_to_cart,2023-03-03
743,748,signup,2023-01-25
744,347,signup,2023-04-12
745,1793,visit,2023-03-14
746,9423,visit,2023-05-19
747,1523,add_to_cart,2023-02-03
748,5518,signup,2023-05-14
749,8036,purchase,2023-06-03
750,6447,signup,2023-01-09
751,2394,signup,2023-04-14
752,2725,visit,2023-01-12
753,749,visit,2023-05-20
754,8077,add_to_cart,2023-02-01
755,2653,signup,2023-05-29
756,1697,add_to_cart,2023-05-29
757,6189,signup,2023-06-10
758,8004,visit,2023-03-18
759,459,visit,2023-03-19
760,9752,signup,2023-03-30
761,2573,signup,2023-06-15
762,4187,add_to_cart,2023-06-19
763,7369,signup,2023-02-11
764,6738,visit,2023-05-17
765,5499,visit,2023-03-18
766,7457,signup,2023-03-30
767,630,signup,2023-03-30
768,1686,add_to_cart,2023-01-05
769,3625,purchase,2023-03-11
770,1414,visit,2023-02-06
771,4934,visit,2023-02-08
772,7137,signup,2023-01-08
773,2484,signup,2023-01-12
774,2790,purchase,2023-06-09
775,1427,signup,2023-01-11
776,1510,signup,2023-05-09
777,2311,signup,2023-05-06
778,8319,add_to_cart,2023-04-24
779,3843,visit,2023-04-06
780,5690,add_to_cart,2023-06-26
781,6852,signup,2023-06-15
782,6764,signup,2023-04-10
783,9770,visit,2023-05-04
784,6129,visit,2023-05-28
785,3523,signup,2023-02-19
786,2639,add_to_cart,2023-04-26
787,4200,signup,2023-05-10
788,5949,add_to_cart,2023-02-16
789,6089,add_to_cart,2023-06-26
790,1133,signup,2023-01-30
791,8044,signup,2023-06-25
792,5345,visit,2023-06-05
793,751,purchase,2023-03-13
794,7496,signup,2023-06-16
795,7014,signup,2023-03-13
796,2979,visit,2023-06-18
797,2263,visit,2023-03-26
798,5328,visit,2023-03-01
799,7627,visit,2023-01-30
800,2355,visit,2023-04-05
801,1618,visit,2023-02-04
802,1607,signup,2023-03-20
803,7241,visit,2023-02-13
804,7298,add_to_cart,2023-01-09
805,5026,signup,2023-06-08
806,1730,signup,2023-03-08
807,2412,signup,2023-01-15
808,5821,signup,2023-04-04
809,5808,visit,2023-01-26
810,3465,visit,2023-02-27
811,8066,visit,2023-06-29
812,7383,visit,2023-06-10
813,8250,add_to_cart,2023-03-31
814,2140,visit,2023-03-14
815,861,signup,2023-05-08
816,9733,add_to_cart,2023-01-21
817,5674,visit,2023-03-10
818,1496,purchase,2023-06-27
819,6718,add_to_cart,2023-01-04
820,1323,visit,2023-01-25
821,245,signup,2023-01-14
822,688,visit,2023-01-22
823,2492,visit,2023-04-21
824,2549,visit,2023-03-17
825,628,signup,2023-03-30
826,2254,signup,2023-02-01
827,2843,add_to_cart,2023-04-07
828,2154,visit,2023-04-20
829,733,visit,2023-01-16
830,4307,signup,2023-01-24
831,2908,signup,2023-04-20
832,1275,signup,2023-01-02
833,3918,signup,2023-05-31
834,6871,visit,2023-04-05
835,1839,purchase,2023-05-11
836,1820,add_to_cart,2023-03-27
837,5176,add_to_cart,2023-04-10
838,4678,add_to_cart,2023-04-07
839,5286,visit,2023-02-20
840,6201,visit,2023-03-28
841,552,add_to_cart,2023-04-25
842,20,purchase,2023-02-19
843,4701,visit,2023-01-04
844,7355,visit,2023-01-17
845,5498,purchase,2023-01-11
846,7270,signup,2023-06-11
847,2215,add_to_cart,2023-03-11
848,1745,add_to_cart,2023-03-30
849,3406,visit,2023-02-08
850,7463,visit,2023-04-01
851,4722,signup,2023-05-11
852,6845,purchase,2023-04-19
853,5,signup,2023-02-13
854,9116,signup,2023-01-06
855,7688,visit,2023-03-21
856,2960,visit,2023-05-22
857,3805,visit,2023-01-01
858,8555,signup,2023-03-22
859,3926,signup,2023-03-30
860,507,visit,2023-06-24
861,6851,visit,2023-01-18
862,206,visit,2023-02-08
863,3128,purchase,2023-02-14
864,270,signup,2023-01-08
865,1716,visit,2023-01-17
866,2993,signup,2023-02-12
867,4283,visit,2023-02-04
868,1696,signup,2023-06-25
869,1825,visit,2023-03-24
870,5786,signup,2023-05-18
871,286,signup,2023-01-18
872,1578,add_to_cart,2023-05-18
873,6477,signup,2023-02-27
874,6249,visit,2023-01-21
875,9537,add_to_cart,2023-06-07
876,1372,add_to_cart,2023-04-07
877,1143,visit,2023-04-07
878,9689,add_to_cart,2023-05-03
879,6195,signup,2023-03-05
880,6611,add_to_cart,2023-03-05
881,7240,visit,2023-06-21
882,6560,visit,2023-05-01
883,1159,visit,2023-04-15
884,9962,signup,2023-04-15
