transaction_id,user_id,amount,transaction_date,payment_method
88,671,3892,2023-05-01,Net Banking
89,6264,8936,2023-01-16,UPI
90,2905,7804,2023-01-09,Net Banking
91,7545,4772,2023-03-15,Debit Card
92,131,4312,2023-02-12,UPI
93,4538,7116,2023-06-28,UPI
94,6824,2888,2023-04-13,Net Banking
95,5435,3870,2023-03-29,Net Banking
96,8765,9789,2023-06-03,UPI
97,9401,4702,2023-06-10,Credit Card
98,2508,875,2023-05-22,Net Banking
99,2638,4660,2023-01-19,Net Banking
100,3476,1938,2023-02-06,Net Banking
101,100,4318,2023-04-01,UPI
102,2676,5801,2023-05-10,Credit Card
103,9643,838,2023-06-26,Debit Card
104,802,1471,2023-02-15,Credit Card
105,1569,1001,2023-05-22,Net Banking
106,6237,7947,2023-01-28,Credit Card
107,8512,7801,2023-04-08,Net Banking
108,9742,7974,2023-04-15,Net Banking
109,3366,3950,2023-02-10,UPI
110,9285,3939,2023-03-03,Net Banking
111,4578,1798,2023-01-01,Debit Card
112,4617,9159,2023-03-17,UPI
113,2172,8322,2023-03-25,Debit Card
114,2134,1421,2023-05-23,Credit Card
115,4098,6977,2023-06-26,Debit Card
116,6540,2636,2023-06-15,Debit Card
117,9071,2547,2023-02-04,UPI
118,1080,9922,2023-02-11,UPI
119,2672,1786,2023-01-11,Net Banking
120,4694,9607,2023-05-07,Net Banking
121,724,2499,2023-02-12,Credit Card
122,6496,7101,2023-05-20,UPI
123,6593,9691,2023-03-24,UPI
124,2273,6914,2023-02-10,UPI
125,8735,4059,2023-06-20,UPI
126,5386,7844,2023-06-06,UPI
127,5402,1876,2023-05-21,Net Banking
128,3435,5904,2023-04-01,Net Banking
129,8809,5702,2023-03-05,Debit Card
130,5758,7617,2023-01-18,Debit Card
131,191,3084,2023-06-11,Net Banking
132,8349,1250,2023-06-25,Credit Card
133,8770,5593,2023-06-13,Debit Card
134,326,3355,2023-05-27,Credit Card
135,8135,5932,2023-05-15,Net Banking
136,7667,6257,2023-06-19,Debit Card
137,1916,6522,2023-02-14,Credit Card
138,4340,5602,2023-03-13,Debit Card
139,546,9878,2023-01-13,Credit Card
140,3644,8505,2023-03-19,UPI
141,7690,6267,2023-03-18,UPI
142,8489,437,2023-03-31,Credit Card
143,1366,9613,2023-04-08,UPI
144,9116,2500,2023-02-20,UPI
145,209,7088,2023-04-05,Debit Card
146,6436,9180,2023-01-28,Credit Card
147,3072,1985,2023-03-13,Debit Card
148,8889,3313,2023-05-18,Debit Card
149,9088,3611,2023-04-27,Net Banking
150,9281,3611,2023-01-09,Credit Card
151,8255,3824,2023-02-22,UPI
152,7822,139,2023-06-02,Debit Card
153,3136,9813,2023-03-08,Net Banking
154,3055,3561,2023-01-01,UPI
155,6336,3524,2023-05-23,Debit Card
156,2039,5705,2023-06-04,UPI
157,9396,7113,2023-06-29,UPI
158,1592,9520,2023-06-26,Debit Card
159,4407,2190,2023-03-04,UPI
160,8924,8497,2023-05-08,Net Banking
161,8912,2854,2023-06-09,UPI
162,5225,8509,2023-02-20,Net Banking
163,1493,3539,2023-04-24,UPI
164,4112,635,2023-02-09,Net Banking
165,5409,3450,2023-01-20,Debit Card
166,6030,407,2023-03-15,Net Banking
167,8425,3087,2023-04-30,Net Banking
168,5592,6208,2023-02-14,Net Banking
169,5235,563,2023-06-14,Net Banking
170,8299,4454,2023-04-18,Net Banking
171,3114,8743,2023-03-29,UPI
172,135,9961,2023-05-12,Debit Card
173,499,1691,2023-01-04,Credit Card
174,4260,8136,2023-05-18,UPI
175,2140,6629,2023-05-03,Debit Card
176,8209,2027,2023-01-07,Net Banking
177,2007,9557,2023-06-17,UPI
178,9187,6063,2023-06-03,Debit Card
179,2203,4014,2023-02-23,UPI
180,5570,4509,2023-02-25,Net Banking
181,7309,1310,2023-05-14,UPI
182,8212,6142,2023-02-01,Debit Card
183,7239,8109,2023-05-22,Debit Card
184,6137,4946,2023-05-02,UPI
185,9928,6827,2023-06-13,Debit Card
186,801,8194,2023-06-13,Debit Card
187,6734,5639,2023-04-19,UPI
188,3280,6583,2023-05-18,Net Banking
189,3632,2216,2023-04-23,UPI
190,2541,8017,2023-02-11,Credit Card
191,2719,1788,2023-04-26,UPI
192,3207,7862,2023-03-08,Debit Card
193,3841,477,2023-05-07,Credit Card
194,2057,2628,2023-06-29,Debit Card
195,4034,9524,2023-06-24,Net Banking
196,9438,1416,2023-01-29,Debit Card
197,6714,6186,2023-02-06,UPI
198,7042,5734,2023-05-18,UPI
199,1851,4519,2023-04-23,Debit Card
200,2262,5785,2023-04-19,Credit Card
201,3030,4355,2023-06-20,Debit Card
202,6458,850,2023-04-25,UPI
203,8540,1212,2023-04-18,Debit Card
204,6493,8381,2023-06-15,Credit Card
205,2103,1831,2023-05-09,Net Banking
206,8531,3561,2023-05-13,Credit Card
207,5222,5051,2023-04-06,Credit Card
208,6415,1610,2023-02-03,Net Banking
209,156,528,2023-04-27,Credit Card
210,6859,1980,2023-06-18,Credit Card
211,2892,9535,2023-06-29,Credit Card
212,4768,151,2023-02-16,Credit Card
213,6020,9012,2023-04-20,Net Banking
214,8630,4433,2023-01-29,UPI
215,5004,7880,2023-04-14,UPI
216,4486,2079,2023-06-10,UPI
217,7551,3756,2023-06-02,UPI
218,1964,9714,2023-05-28,Credit Card
219,6368,4453,2023-01-26,UPI
220,56,952,2023-02-20,Net Banking
221,5698,7368,2023-05-26,Debit Card
222,9134,3208,2023-03-10,Debit Card
223,9222,1906,2023-03-08,Net Banking
224,2335,3674,2023-03-26,Credit Card
225,39,5121,2023-05-01,Debit Card
226,5093,315,2023-02-08,Net Banking
227,6096,2330,2023-01-10,Credit Card
228,6491,9526,2023-02-04,Debit Card
229,2001,212,2023-02-26,Debit Card
230,3642,7431,2023-04-14,Net Banking
231,8646,7638,2023-04-03,Debit Card
232,9848,3040,2023-02-26,Debit Card
233,3957,9754,2023-04-07,UPI
234,6550,5602,2023-01-24,Net Banking
235,2406,2718,2023-04-25,Credit Card
236,2855,7928,2023-06-27,Credit Card
237,5339,1916,2023-04-17,UPI
238,6136,4469,2023-02-14,Debit Card
239,4020,8835,2023-02-19,Debit Card
240,8618,5545,2023-01-22,Credit Card
241,467,6858,2023-05-17,UPI
242,2763,3659,2023-02-09,Credit Card
243,6867,3429,2023-05-14,Debit Card
244,1993,5215,2023-01-10,Debit Card
245,5618,3678,2023-05-29,Net Banking
246,7719,4914,2023-02-23,UPI
247,8082,2123,2023-03-14,UPI
248,2440,8315,2023-05-05,UPI
249,6923,8744,2023-04-08,Debit Card
250,6408,5324,2023-04-12,Debit Card
251,3172,8610,2023-04-01,Net Banking
252,7031,7829,2023-06-02,Credit Card
253,4217,431,2023-05-15,Net Banking
254,641,9637,2023-03-27,UPI
255,1448,7584,2023-06-10,Credit Card
256,7392,8359,2023-02-19,Credit Card
257,6729,8795,2023-05-21,Credit Card
258,2247,2506,2023-01-18,UPI
259,3573,848,2023-01-21,Credit Card
260,1005,978,2023-06-03,Net Banking
261,9937,5022,2023-05-26,Debit Card
262,4905,4339,2023-04-16,Debit Card
263,7469,4846,2023-03-09,Credit Card
264,2445,6469,2023-04-01,UPI
265,8370,3727,2023-02-16,UPI
266,5022,9996,2023-05-26,Net Banking
267,2144,7864,2023-04-17,Net Banking
268,3284,9426,2023-04-11,Credit Card
269,3855,442,2023-04-08,UPI
270,6499,1606,2023-03-30,UPI
271,4816,5688,2023-05-20,Net Banking
272,2350,3549,2023-04-23,Net Banking
273,2530,7049,2023-02-01,Debit Card
274,5095,8361,2023-05-21,Debit Card
275,5757,6167,2023-02-10,Credit Card
276,7930,4886,2023-02-02,UPI
277,46,3260,2023-02-26,UPI
278,713,7838,2023-02-04,Net Banking
279,8601,2920,2023-06-20,Debit Card
280,6273,4377,2023-02-10,Net Banking
281,6995,7733,2023-06-06,Debit Card
282,9421,3753,2023-02-15,Net Banking
283,8459,6424,2023-05-21,Net Banking
284,3375,7676,2023-01-25,Net Banking
285,6660,6417,2023-06-06,Net Banking
286,396,6317,2023-01-13,UPI
287,504,5285,2023-01-11,Debit Card
288,8005,8792,2023-06-18,Debit Card
289,8419,4398,2023-04-26,Credit Card
290,2391,6546,2023-02-18,Credit Card
291,7673,4682,2023-06-22,Net Banking
292,143,826,2023-01-04,Debit Card
293,5374,9179,2023-01-30,UPI
294,3404,3270,2023-02-25,UPI
295,3527,6241,2023-06-22,Credit Card
296,2016,1537,2023-04-01,Credit Card
297,7922,4805,2023-01-06,Debit Card
298,3081,4537,2023-03-24,UPI
299,7303,402,2023-01-21,UPI
300,63,4128,2023-03-16,Debit Card
301,5770,482,2023-04-17,UPI
302,5266,3266,2023-03-12,Credit Card
303,4700,6323,2023-05-13,Credit Card
304,2388,2306,2023-01-18,UPI
305,684,2638,2023-05-22,Credit Card
306,3062,3991,2023-03-30,Credit Card
307,7567,6314,2023-05-13,Debit Card
308,285,7573,2023-05-10,UPI
309,2510,5564,2023-04-21,Net Banking
310,2719,2287,2023-05-04,Credit Card
311,9060,4347,2023-02-14,UPI
312,1840,1742,2023-05-12,Net Banking
313,156,913,2023-05-05,Net Banking
314,9436,3029,2023-05-14,Debit Card
315,2820,9562,2023-02-25,Credit Card
316,4491,7871,2023-06-02,Debit Card
317,9395,4681,2023-04-04,Net Banking
318,4797,2730,2023-02-06,UPI
319,2062,2685,2023-06-04,Credit Card
320,6550,1731,2023-04-28,Net Banking
321,5689,7266,2023-04-14,Net Banking
322,6465,9352,2023-02-10,Net Banking
323,7435,2264,2023-05-11,Credit Card
324,5241,2612,2023-01-19,Net Banking
325,8590,9622,2023-02-10,Debit Card
326,1059,5074,2023-04-26,UPI
327,1411,3069,2023-04-17,UPI
328,5557,3591,2023-03-10,UPI
329,4198,2406,2023-06-22,Debit Card
330,5406,7536,2023-03-26,UPI
331,7203,284,2023-05-06,Credit Card
332,2870,9637,2023-06-11,Net Banking
333,3007,4977,2023-05-10,Credit Card
334,3236,3335,2023-02-20,UPI
335,7877,8931,2023-01-13,Debit Card
336,9488,8978,2023-05-12,Credit Card
337,3082,6729,2023-03-24,UPI
338,5289,5512,2023-04-27,Debit Card
339,3634,8632,2023-01-16,Debit Card
340,3376,4798,2023-04-08,Debit Card
341,455,3721,2023-01-31,Debit Card
342,9075,7657,2023-04-20,Credit Card
343,6259,9988,2023-05-24,Credit Card
344,8856,3265,2023-03-25,UPI
345,587,5786,2023-03-28,Credit Card
346,6854,3825,2023-04-24,Debit Card
347,3359,9553,2023-06-15,Credit Card
348,1818,4983,2023-01-03,Credit Card
349,2059,5717,2023-02-18,Credit Card
350,4927,6142,2023-04-17,UPI
351,9272,2821,2023-05-20,Net Banking
352,5151,544,2023-06-23,UPI
353,4562,7897,2023-04-09,UPI
354,5288,1465,2023-03-13,UPI
355,4310,7134,2023-04-04,Net Banking
356,9617,9760,2023-04-15,Net Banking
357,1836,8309,2023-02-04,Credit Card
358,6490,812,2023-03-04,Credit Card
359,6492,736,2023-01-06,Debit Card
360,9803,6904,2023-03-04,UPI
361,2554,5390,2023-01-09,Debit Card
362,2669,1431,2023-01-13,Debit Card
363,5568,214,2023-02-03,UPI
364,6535,5155,2023-02-23,Debit Card
365,8268,1554,2023-03-26,Net Banking
366,7617,8634,2023-02-21,UPI
367,2157,4575,2023-05-04,Debit Card
368,9105,3372,2023-03-19,UPI
369,1868,7053,2023-04-24,Debit Card
370,2803,8633,2023-04-25,Debit Card
371,7,1426,2023-04-22,Credit Card
372,7768,5798,2023-03-07,UPI
373,4532,7161,2023-03-31,Debit Card
374,6063,9998,2023-06-26,Debit Card
375,7630,8164,2023-03-23,Credit Card
376,1847,9226,2023-04-27,Net Banking
377,627,1993,2023-03-14,Credit Card
378,4144,8858,2023-01-28,UPI
379,4489,4376,2023-01-13,Credit Card
380,9535,2516,2023-02-23,Net Banking
381,9876,9931,2023-01-04,Net Banking
382,8570,9349,2023-01-10,Credit Card
383,3861,7903,2023-05-11,Credit Card
384,3916,2483,2023-01-17,Net Banking
385,3916,6916,2023-01-31,UPI
386,5711,9730,2023-04-18,Debit Card
387,9743,9801,2023-04-28,Credit Card
388,8918,2834,2023-03-06,Debit Card
389,6978,3360,2023-05-18,Credit Card
390,7287,8863,2023-06-07,Credit Card
391,2872,1923,2023-06-16,Credit Card
392,7034,3884,2023-06-08,Debit Card
393,8927,5565,2023-01-17,Net Banking
394,2298,2599,2023-06-16,UPI
395,3830,4341,2023-03-15,Credit Card
396,9774,6811,2023-04-10,Credit Card
397,6895,2272,2023-03-11,Net Banking
398,6738,7818,2023-03-21,Net Banking
399,7714,1254,2023-05-22,Debit Card
400,7215,7598,2023-06-24,Net Banking
401,6946,3033,2023-01-18,UPI
402,9268,8405,2023-01-31,Net Banking
403,2276,9911,2023-04-03,UPI
404,7550,7446,2023-02-12,Credit Card
405,8932,5804,2023-01-22,UPI
406,5538,6451,2023-06-04,Debit Card
407,8784,455,2023-05-10,Net Banking
408,7422,5225,2023-01-21,Credit Card
409,2106,1546,2023-06-29,Debit Card
410,4027,1093,2023-01-21,Debit Card
411,8161,4259,2023-03-30,Credit Card
412,7069,1344,2023-03-26,Net Banking
413,2361,8403,2023-06-16,UPI
414,2146,1228,2023-04-15,Net Banking
415,1095,5898,2023-04-07,Debit Card
416,3228,5982,2023-06-20,Debit Card
417,2933,9670,2023-06-12,Net Banking
418,7242,2370,2023-02-02,Debit Card
419,2185,9074,2023-05-31,Debit Card
420,4367,4169,2023-02-12,Credit Card
421,2485,5191,2023-02-19,Debit Card
422,3157,3157,2023-01-28,Debit Card
423,4137,7869,2023-02-19,Debit Card
424,5610,6410,2023-02-04,Debit Card
425,9179,8958,2023-03-15,Net Banking
426,7920,9940,2023-01-15,Debit Card
427,7725,8760,2023-06-28,Debit Card
428,6367,1977,2023-05-15,Net Banking
429,3046,323,2023-06-16,Net Banking
430,397,9243,2023-04-24,UPI
431,3473,3183,2023-01-04,Net Banking
432,5833,7102,2023-04-15,Credit Card
433,5161,5799,2023-03-18,Net Banking
434,4964,4138,2023-05-15,Credit Card
435,1651,2442,2023-04-25,UPI
436,703,6695,2023-06-02,UPI
437,6518,7049,2023-03-31,Debit Card
438,857,5395,2023-06-06,Debit Card
439,8432,7382,2023-02-13,UPI
440,454,7804,2023-04-26,Net Banking
441,1969,6441,2023-04-28,UPI
442,363,3300,2023-01-11,UPI
443,9577,5255,2023-06-15,Credit Card
444,35,832,2023-03-26,Credit Card
445,4725,3608,2023-01-18,UPI
446,4448,5932,2023-03-20,UPI
447,8424,1138,2023-05-27,Debit Card
448,4660,233,2023-02-06,Debit Card
449,1049,2987,2023-04-01,UPI
450,3687,4623,2023-03-17,Net Banking
451,544,7569,2023-01-27,Net Banking
452,770,4427,2023-04-02,Debit Card
453,3901,8224,2023-03-18,Net Banking
454,6903,1779,2023-06-08,UPI
455,6469,964,2023-05-19,UPI
456,9113,5042,2023-03-13,Debit Card
457,9788,3258,2023-02-20,Debit Card
458,4174,1545,2023-02-15,Debit Card
459,4986,8786,2023-03-23,Debit Card
460,8374,945,2023-02-25,Net Banking
461,7956,4375,2023-05-18,Credit Card
462,2272,3135,2023-04-15,Debit Card
463,6798,2615,2023-01-30,UPI
464,5082,5911,2023-01-14,Credit Card
465,2373,7807,2023-03-05,Net Banking
466,8238,9605,2023-03-06,Net Banking
467,901,5185,2023-04-19,Credit Card
468,5403,118,2023-05-23,Debit Card
469,5267,1406,2023-06-11,Debit Card
470,7865,8713,2023-03-28,Credit Card
471,2788,6796,2023-03-02,Debit Card
472,9100,8545,2023-04-18,UPI
473,1296,8166,2023-01-15,Net Banking
474,2419,5022,2023-06-13,Credit Card
475,260,9261,2023-04-03,Credit Card
476,8037,3728,2023-03-28,Net Banking
477,6648,2917,2023-05-02,UPI
478,1819,2601,2023-01-16,Credit Card
479,5573,8973,2023-03-17,UPI
480,7734,7131,2023-06-25,Debit Card
481,6975,4471,2023-05-17,UPI
482,3212,4894,2023-04-20,Net Banking
483,7992,2308,2023-04-26,Net Banking
484,6536,9542,2023-05-08,Net Banking
485,2173,3931,2023-02-16,UPI
486,5027,9314,2023-06-29,Credit Card
487,2040,8965,2023-01-26,Debit Card
488,7915,2869,2023-04-11,UPI
489,8969,6116,2023-03-21,Debit Card
490,3424,6123,2023-01-11,Debit Card
491,4205,3936,2023-04-22,UPI
492,9497,7888,2023-01-13,Debit Card
493,4295,3146,2023-04-17,Debit Card
494,5120,7108,2023-03-24,Credit Card
495,9175,8236,2023-04-14,UPI
496,182,9916,2023-01-25,UPI
497,3374,1216,2023-03-14,Net Banking
498,5660,2041,2023-06-27,Net Banking
499,2684,7710,2023-01-08,UPI
500,8197,9181,2023-02-17,Net Banking
501,5591,1904,2023-06-04,UPI
502,4468,9015,2023-01-18,Debit Card
503,4367,3700,2023-04-24,Net Banking
504,5687,1575,2023-03-28,Credit Card
505,4015,8182,2023-05-02,Credit Card
506,9666,9816,2023-06-01,Credit Card
507,5112,8280,2023-02-16,UPI
508,5829,9486,2023-01-24,Debit Card
509,7190,1764,2023-06-05,UPI
510,4572,3061,2023-03-04,Credit Card
511,4827,7845,2023-04-09,Net Banking
512,1575,184,2023-06-29,Net Banking
513,1347,5345,2023-01-10,Debit Card
514,7350,6684,2023-04-26,Debit Card
515,8633,6241,2023-05-05,Net Banking
516,9649,6094,2023-05-07,UPI
517,6312,1404,2023-04-02,Debit Card
518,94,2533,2023-04-19,Net Banking
519,1584,9441,2023-05-22,UPI
520,6330,3859,2023-03-06,Net Banking
521,4822,6898,2023-06-25,UPI
522,5200,5959,2023-05-21,UPI
523,9523,2393,2023-05-04,Debit Card
524,8645,4617,2023-01-26,Net Banking
525,1530,2830,2023-06-20,Debit Card
526,4121,8345,2023-06-20,Net Banking
527,1405,8015,2023-05-21,Net Banking
528,4117,7752,2023-05-25,UPI
529,586,6243,2023-03-01,Credit Card
530,1050,285,2023-04-23,UPI
531,6917,3959,2023-01-30,Net Banking
532,1390,4706,2023-05-17,Debit Card
533,1157,1422,2023-02-01,Net Banking
534,7904,3389,2023-02-13,Credit Card
535,9085,3676,2023-01-09,UPI
536,8677,1596,2023-06-16,Credit Card
537,1188,894,2023-06-08,Debit Card
538,8615,7201,2023-01-15,UPI
539,2422,1864,2023-02-05,UPI
540,717,748,2023-01-30,Debit Card
541,9555,4013,2023-03-09,Net Banking
542,3402,5921,2023-02-15,Net Banking
543,1741,9867,2023-04-09,UPI
544,6063,2969,2023-03-28,Net Banking
545,7825,4441,2023-03-23,Credit Card
546,3651,9948,2023-02-13,Debit Card
547,8417,2001,2023-04-21,Net Banking
548,2662,5899,2023-04-24,Net Banking
549,4763,4384,2023-05-01,Credit Card
550,6935,3365,2023-02-14,Debit Card
551,1225,2186,2023-02-02,Net Banking
552,5538,4859,2023-03-06,Net Banking
553,1242,3504,2023-02-09,Debit Card
554,4724,4571,2023-04-06,Debit Card
555,6138,8620,2023-05-18,UPI
556,4827,7474,2023-02-09,Net Banking
557,9059,3235,2023-02-10,Credit Card
558,2286,2573,2023-02-09,Credit Card
559,7534,3028,2023-06-20,Debit Card
560,2511,189,2023-06-11,UPI
561,8496,9482,2023-03-10,UPI
562,3382,4732,2023-05-31,Net Banking
563,6141,2474,2023-01-13,UPI
564,3122,1668,2023-02-03,Net Banking
565,1473,2962,2023-05-10,Credit Card
566,8554,7860,2023-01-08,Net Banking
567,2396,2669,2023-02-05,Debit Card
568,4936,2186,2023-03-05,UPI
569,1133,9573,2023-04-02,Debit Card
570,1312,5414,2023-02-03,Debit Card
571,2950,1979,2023-05-17,Debit Card
572,7787,2955,2023-02-12,Net Banking
573,1682,8544,2023-01-25,Credit Card
574,1564,3751,2023-04-21,UPI
575,5647,5800,2023-01-01,Net Banking
576,6432,3464,2023-02-16,Debit Card
577,402,6861,2023-06-17,Credit Card
578,5099,4499,2023-03-17,Credit Card
579,2200,6670,2023-05-25,Debit Card
580,6393,8028,2023-05-04,Debit Card
581,686,7790,2023-01-06,UPI
582,1371,8874,2023-05-18,UPI
583,2032,392,2023-02-03,Credit Card
584,8458,5932,2023-01-11,UPI
585,5404,1960,2023-05-31,Debit Card
586,5901,5099,2023-01-07,Debit Card
587,4268,4538,2023-04-11,Debit Card
588,692,5337,2023-06-19,Credit Card
589,6537,6140,2023-05-02,UPI
590,8012,9847,2023-01-12,UPI
591,5076,5662,2023-05-05,UPI
592,2315,1137,2023-01-10,Net Banking
593,5785,3819,2023-01-08,UPI
594,2623,6657,2023-06-01,Net Banking
595,2690,4270,2023-02-07,Credit Card
596,2890,6455,2023-06-27,UPI
597,4221,614,2023-06-29,Credit Card
598,523,134,2023-06-08,Debit Card
599,2003,7392,2023-01-20,Debit Card
600,2151,1059,2023-05-17,Credit Card
601,5794,504,2023-01-19,Debit Card
602,4323,812,2023-02-19,Debit Card
603,5668,9740,2023-03-01,Debit Card
604,8751,4581,2023-06-19,Credit Card
605,478,5332,2023-02-26,UPI
606,2951,7769,2023-02-01,Debit Card
607,8623,9514,2023-01-05,Credit Card
608,3922,8692,2023-02-23,Net Banking
609,7588,6792,2023-02-26,UPI
610,6466,3197,2023-04-25,UPI
611,6357,2433,2023-02-28,Debit Card
612,7513,5002,2023-01-04,Debit Card
613,7093,7448,2023-04-06,UPI
614,3459,5868,2023-06-04,Debit Card
615,8407,6517,2023-05-12,Credit Card
616,6952,2697,2023-01-04,Debit Card
617,8441,1450,2023-02-22,Debit Card
618,1110,9393,2023-06-25,Credit Card
619,7491,2281,2023-03-06,Credit Card
620,6766,8899,2023-01-28,Debit Card
621,8145,5178,2023-06-29,UPI
622,456,8210,2023-04-19,Debit Card
623,802,3055,2023-06-05,Net Banking
624,1053,6926,2023-05-10,Net Banking
625,1600,1851,2023-02-03,Debit Card
626,6416,8417,2023-01-10,Credit Card
627,6855,7150,2023-03-20,UPI
628,2177,9153,2023-05-04,UPI
629,1535,3039,2023-01-30,UPI
630,8661,969,2023-01-17,Credit Card
631,9091,347,2023-06-24,UPI
632,6603,2522,2023-03-08,Debit Card
633,4711,2229,2023-01-20,UPI
634,7529,5582,2023-04-03,Credit Card
635,3347,8422,2023-03-25,Debit Card
636,1553,2151,2023-05-24,Credit Card
637,1710,484,2023-04-30,Debit Card
638,5974,5937,2023-02-12,Net Banking
639,2142,8951,2023-03-16,Credit Card
640,3179,1909,2023-05-26,UPI
641,231,5440,2023-03-19,Debit Card
642,4037,6120,2023-02-10,Net Banking
643,3058,8094,2023-04-06,Debit Card
644,968,2790,2023-06-24,Credit Card
645,5915,1692,2023-05-30,Credit Card
646,3700,8251,2023-01-15,UPI
647,2534,6100,2023-01-31,Debit Card
648,436,8514,2023-06-20,Net Banking
649,5607,9846,2023-06-21,Credit Card
650,2934,6379,2023-02-01,Debit Card
651,7358,2899,2023-02-05,Credit Card
652,5252,2180,2023-03-21,UPI
653,8446,4831,2023-05-24,Debit Card
654,7256,6691,2023-05-08,Net Banking
655,7833,5251,2023-01-29,UPI
656,6602,8455,2023-04-03,Net Banking
657,5368,514,2023-06-11,UPI
658,945,2503,2023-03-24,Credit Card
659,469,7313,2023-04-15,UPI
660,4187,9699,2023-01-25,Debit Card
661,2458,2692,2023-03-21,Credit Card
662,243,6248,2023-04-28,Net Banking
663,3987,5785,2023-06-01,Net Banking
664,2603,5146,2023-05-30,Debit Card
665,9182,9387,2023-03-09,Debit Card
666,52,8885,2023-01-07,Debit Card
667,7807,8076,2023-04-12,UPI
668,8352,2672,2023-02-01,UPI
669,7821,112,2023-04-19,UPI
670,5871,5560,2023-03-27,Debit Card
671,5275,5750,2023-02-16,UPI
672,5224,5060,2023-06-09,Net Banking
673,9514,4431,2023-06-03,Credit Card
674,9247,6167,2023-05-26,Net Banking
675,6147,6545,2023-06-11,Debit Card
676,3926,1943,2023-02-06,Credit Card
677,6296,4596,2023-04-01,Net Banking
678,8549,2217,2023-05-04,UPI
679,204,7001,2023-05-23,UPI
680,4370,2555,2023-01-03,Credit Card
681,6096,3519,2023-05-26,Credit Card
682,4338,3125,2023-03-03,UPI
683,4966,3534,2023-05-29,UPI
684,9458,2920,2023-05-22,UPI
685,6835,4711,2023-02-05,Debit Card
686,2067,1204,2023-06-18,Debit Card
687,2634,2929,2023-06-01,Credit Card
688,9133,2903,2023-06-10,Credit Card
